Nº,Nombre,Total.Por mil ‰
260,ANTONIA MARIA,10.249,0.477
261,MARIA SOL,10.236,0.477
262,TATIANA,10.035,0.467
263,AMAYA,10.023,0.467
264,ALBA MARIA,9.875,0.460
265,IRATI,9.831,0.458
266,NAYARA,9.753,0.454
267,GREGORIA,9.736,0.453
268,MARIA JULIA,9.720,0.453
269,ZOE,9.707,0.452
270,LYDIA,9.683,0.451
271,MERCE,9.593,0.447
272,VIOLETA,9.522,0.443
273,JANA,9.470,0.441
274,MARIA INES,9.398,0.438
275,ESMERALDA,9.300,0.433
276,CANDIDA,9.250,0.431
277,CARIDAD,9.185,0.428
278,ROSER,9.159,0.426
279,ALEXIA,9.108,0.424
280,SAGRARIO,9.091,0.423
281,MARIA ASCENSION,9.078,0.423
282,MARIA CANDELARIA,8.998,0.419
283,GISELA,8.987,0.418
284,MARIA GRACIA,8.883,0.414
285,MARIA FERNANDA,8.882,0.414
286,MARA,8.873,0.413
287,RITA,8.865,0.413
288,AGUEDA,8.813,0.410
289,MARIA MANUELA,8.777,0.409
290,FLORENTINA,8.768,0.408
291,ZAIRA,8.699,0.405
292,ANA CRISTINA,8.645,0.402
293,NAZARET,8.624,0.401
294,AURELIA,8.488,0.395
295,CONSOLACION,8.470,0.394
296,NAIA,8.417,0.392
297,ONA,8.411,0.392
298,MARIA PURIFICACION,8.383,0.390
299,ELIZABETH,8.376,0.390
300,MARIA DOLORS,8.364,0.389
301,NAHIA,8.247,0.384
302,JENIFER,8.222,0.383
303,EDURNE,8.184,0.381
304,ANABEL,8.165,0.380
305,MARIA SAGRARIO,8.116,0.378
306,MARIA CARME,7.974,0.371
307,ELENA MARIA,7.941,0.370
308,LIA,7.917,0.369
309,ESTIBALIZ,7.911,0.368
310,AZUCENA,7.892,0.367
311,CARME,7.830,0.365
312,MARIA AURORA,7.736,0.360
313,FELICIDAD,7.734,0.360
314,ADELINA,7.711,0.359
315,ANGELA MARIA,7.704,0.359
316,ELOISA,7.665,0.357
317,YANIRA,7.664,0.357
318,MARIONA,7.640,0.356
319,MARIA BLANCA,7.618,0.355
320,MARIA PALOMA,7.571,0.352
321,CANDELARIA,7.551,0.352
322,ROSA ANA,7.544,0.351
323,SALMA,7.535,0.351
324,ADELAIDA,7.496,0.349
325,INMACULADA CONCEPCION,7.480,0.348
326,AZAHARA,7.450,0.347
327,MONSERRAT,7.423,0.346
328,YASMINA,7.409,0.345
329,MARIA PINO,7.402,0.345
330,CAYETANA,7.393,0.344
331,HORTENSIA,7.377,0.343
332,GALA,7.371,0.343
333,MARIA AUXILIADORA,7.365,0.343
334,MARTA MARIA,7.359,0.343
335,CORAL,7.331,0.341
336,TOMASA,7.305,0.340
337,ANNA MARIA,7.277,0.339
338,LUISA MARIA,7.234,0.337
339,JESICA,7.228,0.337
340,AINOA,7.213,0.336
341,MARIA GEMA,7.155,0.333
342,BENITA,7.144,0.333
343,MARIA VALLE,7.001,0.326
344,ARANTXA,6.969,0.324
345,MICAELA,6.921,0.322
346,MARIA GUADALUPE,6.885,0.321
347,MARIA LUCIA,6.880,0.320
348,FILOMENA,6.828,0.318
349,TEODORA,6.826,0.318
350,FABIOLA,6.797,0.316
351,LAURA MARIA,6.794,0.316
352,MIREYA,6.767,0.315
353,MARIA SONIA,6.754,0.314
354,MARIA DESAMPARADOS,6.727,0.313
355,MARIA ESTRELLA,6.710,0.312
356,DELIA,6.697,0.312
357,FUENSANTA,6.641,0.309
358,NAGORE,6.590,0.307
359,FLORA,6.574,0.306
360,INES MARIA,6.495,0.302
361,JUNE,6.475,0.301
362,FERNANDA,6.325,0.294
363,INGRID,6.324,0.294
364,LUZ MARIA,6.307,0.294
365,MARIA ELISA,6.296,0.293
366,MARCELINA,6.278,0.292
367,MARIA OLGA,6.277,0.292
368,IDOIA,6.269,0.292
369,IRATXE,6.253,0.291
370,MARIA SOCORRO,6.244,0.291
371,VISITACION,6.244,0.291
372,REGINA,6.231,0.290
373,MAIDER,6.221,0.290
374,MARISOL,6.084,0.283
375,ANTIA,6.049,0.282
376,MARIA ANGELS,6.047,0.282
377,MAIALEN,6.040,0.281
378,ANAIS,6.009,0.280
379,MARIA VICENTA,5.916,0.275
380,UXUE,5.883,0.274
381,MARIA CINTA,5.853,0.272
382,IZASKUN,5.839,0.272
383,VIRTUDES,5.816,0.271
384,NAROA,5.792,0.270
385,MARIA BEATRIZ,5.770,0.269
386,MARIA NATIVIDAD,5.754,0.268
387,AYA,5.744,0.267
388,SALVADORA,5.680,0.264
389,ROSANA,5.676,0.264
390,MARIA ARACELI,5.654,0.263
391,IRINA,5.642,0.263
392,MARIAM,5.633,0.262
393,AVELINA,5.620,0.262
394,MARIA ANGELA,5.583,0.260
395,GENOVEVA,5.529,0.257
396,ANGELICA,5.501,0.256
397,DEBORA,5.463,0.254
398,PAULINA,5.461,0.254
399,CARMEN ROSA,5.456,0.254
400,MARIA ANGUSTIAS,5.444,0.253
401,DAVINIA,5.418,0.252
402,GEORGINA,5.385,0.251
403,FLORENCIA,5.363,0.250
404,DELFINA,5.356,0.249
405,REYES,5.356,0.249
406,SEBASTIANA,5.348,0.249
407,DOLORS,5.234,0.244
408,UXIA,5.177,0.241
409,ALFONSA,5.164,0.240
410,SONIA MARIA,5.147,0.240
411,YASMIN,5.099,0.237
412,SABINA,5.076,0.236
413,SAMARA,5.067,0.236
414,EIDER,5.045,0.235
415,JULIETA,5.044,0.235
416,AUREA,5.036,0.234
417,TERESA JESUS,5.013,0.233
418,MARIA NURIA,5.008,0.233
419,SARAI,4.982,0.232
420,PATROCINIO,4.974,0.232
421,OLGA MARIA,4.947,0.230
422,MARIA PIEDAD,4.943,0.230
423,MARIA ALEJANDRA,4.938,0.230
424,MARIA AZUCENA,4.916,0.229
425,GRACIA,4.897,0.228
426,ANGELINA,4.880,0.227
427,DESAMPARADOS,4.873,0.227
428,JUSTA,4.872,0.227
429,MARIA FATIMA,4.858,0.226
430,MINERVA,4.851,0.226
431,JOSEFA MARIA,4.842,0.225
432,FELIPA,4.807,0.224
433,CLOE,4.790,0.223
434,PALMIRA,4.777,0.222
435,ISIDORA,4.771,0.222
436,ERICA,4.764,0.222
437,MARIA JUANA,4.747,0.221
438,MARIA RAQUEL,4.730,0.220
439,NAYRA,4.675,0.218
440,OBDULIA,4.663,0.217
441,MYRIAM,4.653,0.217
442,CAMILA,4.631,0.216
443,LINA,4.606,0.214
444,LORENZA,4.571,0.213
445,ARLET,4.551,0.212
446,HAIZEA,4.524,0.211
447,URSULA,4.518,0.210
448,BRIGIDA,4.513,0.210
449,JESUSA,4.505,0.210
450,EVANGELINA,4.503,0.210
451,COVADONGA,4.490,0.209
452,MIREN,4.427,0.206
453,GLORIA MARIA,4.421,0.206
454,MARIA ALMUDENA,4.405,0.205
455,MARIA EVA,4.402,0.205
456,MARIA ELVIRA,4.398,0.205
457,BIENVENIDA,4.383,0.204
458,OLATZ,4.375,0.204
459,SAMIRA,4.367,0.203
460,MAITANE,4.357,0.203
461,CRISTINA MARIA,4.349,0.202
462,MARIA CONSOLACION,4.324,0.201
463,ISABELLA,4.300,0.200
464,NICOLE,4.300,0.200
465,SILVIA MARIA,4.287,0.200
466,JACINTA,4.285,0.199
467,CINTIA,4.273,0.199
468,MELANIA,4.263,0.198
469,MARIA PRADO,4.247,0.198
470,ANGUSTIAS,4.240,0.197
471,GEMA MARIA,4.228,0.197
472,RUT,4.210,0.196
473,DIONISIA,4.174,0.194
474,XENIA,4.173,0.194
475,IVET,4.146,0.193
476,GERTRUDIS,4.144,0.193
477,MARIA MERCE,4.130,0.192
478,KHADIJA,4.129,0.192
479,MARIBEL,4.123,0.192
480,MARIA SALUD,4.108,0.191
481,MARIA ALICIA,4.099,0.191
482,SAIOA,4.091,0.190
483,JULIA MARIA,4.089,0.190
484,MODESTA,4.078,0.190
485,ADA,4.075,0.190
486,VICTORIA EUGENIA,4.074,0.190
487,ICIAR,4.049,0.189
488,IZARO,4.024,0.187
489,THAIS,4.018,0.187
490,MARIA LAURA,4.015,0.187
491,SANDRA MARIA,4.004,0.186
492,SOCORRO,3.994,0.186
493,ELISA ISABEL,3.989,0.186
494,MALAK,3.987,0.186
495,RUFINA,3.978,0.185
496,PAULA MARIA,3.966,0.185
497,CLOTILDE,3.963,0.184
498,SABELA,3.939,0.183
499,MARIA FE,3.935,0.183
500,SARA MARIA,3.915,0.182
501,FRANCISCA MARIA,3.907,0.182
502,OIHANE,3.892,0.181
503,ANA CARMEN,3.878,0.181
504,ARIANA,3.865,0.180
505,OTILIA,3.851,0.179
506,LORETO,3.850,0.179
507,MARIA CELIA,3.843,0.179
508,INDIA,3.837,0.179
509,BALBINA,3.822,0.178
510,CLARA ISABEL,3.822,0.178
511,DOMINGA,3.820,0.178
512,SIRA,3.777,0.176
513,NAIRA,3.764,0.175
514,MARIA MARGARITA,3.749,0.175
515,ZAIDA,3.734,0.174
516,EMILIANA,3.717,0.173
517,IRUNE,3.692,0.172
518,MARIA SANDRA,3.635,0.169
519,LUZ MARINA,3.628,0.169
520,MARIA EMILIA,3.609,0.168
521,JARA,3.593,0.167
522,AMIRA,3.581,0.167
523,ILUMINADA,3.569,0.166
524,MARIA VANESA,3.565,0.166
525,GUILLERMINA,3.563,0.166
526,BRUNA,3.538,0.165
527,SALUD,3.503,0.163
528,OLAYA,3.493,0.163
529,EVELYN,3.472,0.162
530,MARIA FELISA,3.466,0.161
531,NAIMA,3.452,0.161
532,SALOME,3.439,0.160
533,FELICIANA,3.435,0.160
534,DESIRE,3.427,0.160
535,JANIRE,3.396,0.158
536,PASTORA,3.395,0.158
537,MARIA SUSANA,3.387,0.158
538,HENAR,3.373,0.157
539,LILIANA,3.366,0.157
540,PAZ,3.356,0.156
541,MARCELA,3.355,0.156
542,AMINA,3.346,0.156
543,FELICITAS,3.345,0.156
544,CLARA MARIA,3.343,0.156
545,MAIA,3.343,0.156
546,MARIA ADELA,3.327,0.155
547,OLIVA,3.326,0.155
548,LUZ,3.324,0.155
549,ANASTASIA,3.322,0.155
550,MADDI,3.320,0.155
551,MARIA EULALIA,3.306,0.154
552,MARIA ESTER,3.297,0.153
553,IGNACIA,3.285,0.153
554,BIBIANA,3.282,0.153
555,INOCENCIA,3.272,0.152
556,SACRAMENTO,3.259,0.152
557,EUSEBIA,3.251,0.151
558,PRESENTACION,3.251,0.151
559,FRANCESCA,3.243,0.151
560,DAMARIS,3.234,0.151
561,AITZIBER,3.226,0.150
562,ENARA,3.208,0.149
563,ENGRACIA,3.202,0.149
564,GRACIELA,3.202,0.149
565,GARAZI,3.196,0.149
566,MARAVILLAS,3.192,0.149
567,ELISENDA,3.190,0.149
568,YESICA,3.165,0.147
569,DANIELLA,3.161,0.147
570,LAILA,3.161,0.147
571,ABIGAIL,3.143,0.146
572,DUNIA,3.136,0.146
573,NEKANE,3.134,0.146
574,SARAH,3.134,0.146
575,NICOLASA,3.132,0.146
576,SABRINA,3.125,0.145
