Nº,Nombre,Total.Por mil ‰
1609,JUANA JOSEFA,570,0.027
1610,LINA MARCELA,570,0.027
1611,TEODOSIA,569,0.026
1612,YOHANA,569,0.026
1613,CARMEN JULIA,568,0.026
1614,EMPAR,568,0.026
1615,NAYADE,568,0.026
1616,EFIGENIA,565,0.026
1617,ESPERANZA MARIA,565,0.026
1618,VENANCIA,564,0.026
1619,JOSEFA ISABEL,563,0.026
1620,LILA,563,0.026
1621,MARIA RUTH,563,0.026
1622,MARIA CELINA,562,0.026
1623,DELIA MARIA,561,0.026
1624,LIERNI,561,0.026
1625,GORETTI,560,0.026
1626,MARIA PIA,560,0.026
1627,MARIAMA,560,0.026
1628,RABIA,560,0.026
1629,AMINATA,559,0.026
1630,JAZMIN,559,0.026
1631,ANA CELIA,558,0.026
1632,REBECA MARIA,558,0.026
1633,TAMAR,558,0.026
1634.BEGOÑA MARIA,557,0,026
1635,MIREN ARANTZAZU,557,0.026
1636,ROSA NIEVES,557,0.026
1637,CHARLOTTE,556,0.026
1638,AYELEN,555,0.026
1639,STEPHANIE,555,0.026
1640,AINA MARIA,554,0.026
1641,DOUAA,554,0.026
1642,ALAE,553,0.026
1643,ANA EVA,552,0.026
1644,ITAHISA,552,0.026
1645,GLORIA INES,551,0.026
1646,MARIANA JESUS,551,0.026
1647,ASSUMPCIO,549,0.026
1648,BRAULIA,549,0.026
1649,DESEADA,549,0.026
1650,ANGIE,548,0.026
1651,MARIA AMERICA,548,0.026
1652,PETRA MARIA,547,0.025
1653,FATNA,546,0.025
1654,MARIA LINA,546,0.025
1655,ROSA BELEN,545,0.025
1656,CRISTINA VICTORIA,544,0.025
1657,NATHALIA,544,0.025
1658,NIHAD,544,0.025
1659,TAMARA MARIA,544,0.025
1660,ARSENIA,543,0.025
1661,MARGOT,543,0.025
1662,JOSEFA PILAR,542,0.025
1663,AMAGOIA,541,0.025
1664,EUFRASIA,541,0.025
1665,EUNICE,540,0.025
1666,WISSAL,539,0.025
1667,YAZMINA,539,0.025
1668,SALADINA,537,0.025
1669,SECUNDINA,537,0.025
1670,CRISTINA CARMEN,536,0.025
1671,FRANCISCA PAULA,536,0.025
1672.MIREN GARBIÑE,536,0,025
1673,BALMA,535,0.025
1674,IBONE,535,0.025
1675,AMALIA MARIA,534,0.025
1676,CECILIA MARIA,533,0.025
1677,CHAIMA,533,0.025
1678,ILARGI,533,0.025
1679,SERENA,533,0.025
1680,EVA ISABEL,532,0.025
1681,IMMA,532,0.025
1682,LAURA CRISTINA,530,0.025
1683,CONSTANCIA,529,0.025
1684,DANIELA MARIA,529,0.025
1685,LIS,529,0.025
1686,MARIA CLAUDIA,529,0.025
1687,NAYA,529,0.025
1688,ARA,528,0.025
1689,MARIA ANGEL,528,0.025
1690,ENYA,527,0.025
1691,EVA CRISTINA,527,0.025
1692,IMELDA,527,0.025
1693,IONA,527,0.025
1694,MARIA AGUEDA,527,0.025
1695,SIENA,527,0.025
1696,DEVORA,526,0.024
1697,AMELIE,525,0.024
1698,EVA GLORIA,524,0.024
1699,KEIRA,521,0.024
1700,MARIA CELESTINA,521,0.024
1701,ANTONIA JESUS,520,0.024
1702,AYNARA,520,0.024
1703,BRIANA,520,0.024
1704,LUCIA ISABEL,519,0.024
1705,MARIA CARLOTA,518,0.024
1706,MAROUA,517,0.024
1707,YVONNE,517,0.024
1708,AMELIA MARIA,516,0.024
1709,EUGENIA MARIA,516,0.024
1710,IOLANDA,516,0.024
1711,ISABEL DOLORES,515,0.024
1712,MARIA JACINTA,515,0.024
1713,MARIA TOMASA,515,0.024
1714,MARINA CARMEN,515,0.024
1715,SAADIA,515,0.024
1716,MARIA AIDA,514,0.024
1717,MARTA PILAR,514,0.024
1718,JANETH,511,0.024
1719,ANTONIA ISABEL,509,0.024
1720,EUSTAQUIA,507,0.024
1721,INTZA,507,0.024
1722,MARIA ALTAGRACIA,507,0.024
1723,MARIA ELISABET,507,0.024
1724,MARIA ANGELINA,505,0.024
1725,NELIA,504,0.023
1726,MARILUZ,503,0.023
1727,HERMOSINDA,502,0.023
1728,BELARMINA,501,0.023
1729,MELODIA,500,0.023
1730,ANA MILENA,499,0.023
1731,VENTURA,499,0.023
1732,SAFA,498,0.023
1733,SANAA,498,0.023
1734,CAPILLA,497,0.023
1735,IRYNA,497,0.023
1736,ROMANA,497,0.023
1737,VILMA,497,0.023
1738,ANDREA CAROLINA,496,0.023
1739,ASSUMPTA,496,0.023
1740,JUANA FRANCISCA,496,0.023
1741,ROSARIO PILAR,496,0.023
1742,DESIDERIA,495,0.023
1743,HAYDEE,495,0.023
1744,LLUM,493,0.023
1745,MANOLI,493,0.023
1746,LYA,492,0.023
1747,ELDA,491,0.023
1748,LEONISA,490,0.023
1749,ROSALINDA,490,0.023
1750,ROSARIO FATIMA,489,0.023
1751,ANA ELISA,488,0.023
1752,ELIA MARIA,488,0.023
1753,MARIA BELINDA,486,0.023
1754,ANA ANTONIA,485,0.023
1755,HERMINDA,485,0.023
1756,KHLOE,485,0.023
1757,MARIA FELIPA,485,0.023
1758,DEMELSA,483,0.022
1759,DOHA,483,0.022
1760,IANIRE,483,0.022
1761,GERMANA,482,0.022
1762,MARIA JESSICA,482,0.022
1763,GRANADA,481,0.022
1764,LURDES,481,0.022
1765,MARIA ISIDORA,481,0.022
1766,PATRICIA ISABEL,481,0.022
1767,PIA,481,0.022
1768,DORIS,480,0.022
1769.MIREN BEGOÑA,480,0,022
1770,AMAIUR,479,0.022
1771,ROSANNA,479,0.022
1772,SVETLANA,479,0.022
1773,CARMEN JESUS,478,0.022
1774,ROSMERY,478,0.022
1775,ANICETA,477,0.022
1776,FRIDA,477,0.022
1777,MARCIA,476,0.022
1778,TOURIA,476,0.022
1779,BALTASARA,475,0.022
1780,CIRA,475,0.022
1781,MARLEN,475,0.022
1782,ALBERTINA,474,0.022
1783,ANA LOURDES,473,0.022
1784,CINTHYA,473,0.022
1785,KRISTINA,472,0.022
1786,MARIA OLIVIA,472,0.022
1787,CHAIMAA,471,0.022
1788,MARIA AMADA,471,0.022
1789,MARIETA,471,0.022
1790,NAWAL,471,0.022
1791,SABAH,471,0.022
1792,MELODI,470,0.022
1793,IRAYA,469,0.022
1794,MARY LUZ,469,0.022
1795,FATMA,468,0.022
1796,MARIA NEREA,468,0.022
1797,YOMARA,468,0.022
1798,CONXITA,467,0.022
1799,INDHIRA,467,0.022
1800,MARIA DANIELA,467,0.022
1801,MARIA JUSTA,467,0.022
1802,MONTEMAYOR,467,0.022
1803,OLENA,467,0.022
1804,LUJAN,466,0.022
1805,QUINTINA,466,0.022
1806,MARIA ARRATE,465,0.022
1807,DEYANIRA,464,0.022
1808,MARIA PASTORA,463,0.022
1809,ROSENDA,463,0.022
1810,HAKIMA,462,0.022
1811,RITAJ,462,0.022
1812,ANUNCIA,461,0.021
1813,ESTELA CARMEN,461,0.021
1814,ISABEL PILAR,461,0.021
1815,KAYLA,461,0.021
1816,MARIA AUREA,461,0.021
1817,MARIA ALEGRIA,459,0.021
1818,MARIA DESEADA,459,0.021
1819,RIANSARES,459,0.021
1820,ZALOA,459,0.021
1821,JULIA ISABEL,458,0.021
1822,IVANNA,457,0.021
1823,BLANCA ISABEL,456,0.021
1824,ROMAISA,456,0.021
1825,GINEBRA,455,0.021
1826,MARIA VAL,455,0.021
1827,ALEXA,454,0.021
1828,MARGARITA ROSA,454,0.021
1829,MARTIRIO,454,0.021
1830,MURIEL,454,0.021
1831,DAIANA,453,0.021
1832,FRANCISCA DOLORES,453,0.021
1833,MARIA CELSA,453,0.021
1834.MONTAÑA,453,0,021
1835,PILAR CARMEN,453,0.021
1836,DANIELA ALEJANDRA,452,0.021
1837,MARIA PALMA,452,0.021
1838,OROSIA,452,0.021
1839,FAYNA,451,0.021
1840,ISABEL ROSA,451,0.021
1841,MARIA LUNA,451,0.021
1842,CARMEN LAURA,450,0.021
1843,EKATERINA,450,0.021
1844,LIRIA,450,0.021
1845,MARIA CLOTILDE,450,0.021
1846,PATRICIA CARMEN,450,0.021
1847,TABITA,450,0.021
1848,MARIA LARA,449,0.021
1849,SOUMIA,449,0.021
1850,VIRGILIA,448,0.021
1851,ITZEL,447,0.021
1852,SILVIA PATRICIA,447,0.021
1853,VIVIAN,447,0.021
1854,KELLY,446,0.021
1855,MARIA CLEOFE,446,0.021
1856,ANABELLA,445,0.021
1857,ANTONIA PILAR,445,0.021
1858,CHAYMAE,445,0.021
1859,ROSA AMELIA,445,0.021
1860,AGUAS SANTAS,444,0.021
1861,JUANA CARMEN,444,0.021
1862,ANA GEMA,442,0.021
1863,JASONE,442,0.021
1864,MARINA ISABEL,442,0.021
1865,ESTER MARIA,441,0.021
1866,JOANE,441,0.021
1867,LLEDO,441,0.021
1868.ESPERANÇA,440,0,020
1869,EVELINA,440,0.020
1870,GABRIELLA,440,0.020
1871,MARIA LORENZA,440,0.020
1872,RAKEL,440,0.020
1873,ALEXANDRA MARIA,439,0.020
1874,CORONADA,439,0.020
1875,DENISSE,439,0.020
1876,FATOU,439,0.020
1877,HELENE,439,0.020
1878,NADA,438,0.020
1879,STELLA MARIS,438,0.020
1880,YOSRA,437,0.020
1881,ERIKA MARIA,436,0.020
1882,BALDOMERA,435,0.020
1883,FADMA,435,0.020
1884,GADOR,435,0.020
1885,OVIDIA,435,0.020
1886,PAOLA MARIA,434,0.020
1887,ANTONIA ROSA,433,0.020
1888,SANDRA ISABEL,433,0.020
1889,XULIA,433,0.020
1890,EMERENCIANA,431,0.020
1891,MARIA PALMIRA,431,0.020
1892,MARLENY,431,0.020
1893,MARIA IDOIA,430,0.020
1894,SILVERIA,430,0.020
1895,ELMA,429,0.020
1896,MARGARITA ISABEL,429,0.020
1897,NATALIYA,429,0.020
1898,ELENA CARMEN,428,0.020
1899,MARAVILLA,428,0.020
1900,ROCIO MARIA,427,0.020
1901,DOUAE,426,0.020
1902,MARIA FLORES,426,0.020
1903,PERFECTA,426,0.020
1904,ARGELIA,425,0.020
1905,LIBIA,425,0.020
1906,HANAE,424,0.020
1907,NICOL,424,0.020
1908,CARMEN MERCEDES,423,0.020
1909,EDNA,423,0.020
1910,GERALDINE,423,0.020
1911,HELENA MARIA,423,0.020
1912,JULIETTE,423,0.020
1913,FIDELINA,421,0.020
1914,FRANCISCA CARMEN,421,0.020
1915,INSAF,420,0.020
1916,MAGALY,420,0.020
1917,AIMARA,419,0.020
1918,FOUZIA,419,0.020
1919,INGE,419,0.020
1920,INOCENTA,419,0.020
1921,MARTA BEATRIZ,419,0.020
1922,NAYMA,419,0.020
1923,ALEX,418,0.019
1924,CARMEN BEATRIZ,418,0.019
1925,GHIZLANE,418,0.019
1926,LAURA PILAR,418,0.019
1927,CARMEN ALICIA,417,0.019
1928,JOSEFA LUISA,417,0.019
1929,SIGRID,416,0.019
1930,ZULIMA,416,0.019
1931,ANA MARINA,415,0.019
1932,INMACULADA MARIA,415,0.019
1933,VICTORIA ISABEL,415,0.019
1934,ALCIRA,414,0.019
1935,AMPARO MARIA,414,0.019
1936,DAKOTA,414,0.019
1937,GOIZANE,414,0.019
1938,ROSA MARINA,414,0.019
1939,ANNIA,413,0.019
1940,MARIA GRANADA,413,0.019
1941,ALEIDA,412,0.019
1942,BRIANNA,412,0.019
1943,KATTALIN,412,0.019
1944,BETH,411,0.019
1945,CRISTINA PILAR,411,0.019
1946,MONIKA,411,0.019
1947,AZAHARA MARIA,410,0.019
1948,MARIA IMMACULADA,410,0.019
1949,MARIA LIBERTAD,410,0.019
1950,MARY CARMEN,409,0.019
1951.ANA BEGOÑA,408,0,019
1952,CRISANTA,408,0.019
1953,CARMEN CRISTINA,407,0.019
1954,MARIA FELICITAS,407,0.019
1955,OKSANA,407,0.019
1956,OMAYMA,407,0.019
1957,BLAU,406,0.019
1958,ESTHER LIDIA,406,0.019
1959,NAOUAL,406,0.019
1960,FRANCISCA ANTONIA,405,0.019
1961,MARIA DULCE,405,0.019
1962,MARIA CANDELA,404,0.019
1963,MARIA MERCED,404,0.019
1964,ASUNCION MARIA,403,0.019
1965,TERESA PILAR,403,0.019
1966,CIRILA,402,0.019
1967,FRANCISCA PILAR,402,0.019
1968,LUZ MARY,402,0.019
1969,MARIA SALVADORA,402,0.019
1970,MIRTA,402,0.019
1971,MARIA VILLAR,401,0.019
1972,NORBERTA,401,0.019
1973,ROSA MARY,401,0.019
1974,YAMILE,401,0.019
1975,MARIA MARAVILLAS,400,0.019
1976,ROSA ESTHER,400,0.019
1977,MAURICIA,399,0.019
1978,ZELTIA,399,0.019
1979,BRIGITTE,398,0.019
1980,JAEL,398,0.019
1981,LINDA,398,0.019
1982,MELINDA,398,0.019
1983,ROSA MAR,398,0.019
1984,ITSASNE,397,0.018
1985,LUCIA PILAR,397,0.018
1986,MARAM,397,0.018
1987,TERESA ISABEL,397,0.018
1988,AYMARA,396,0.018
1989,EVA BELEN,396,0.018
1990,FADOUA,396,0.018
1991,ROCIO MAR,396,0.018
1992,SAFIA,396,0.018
1993,ANA ESMERALDA,395,0.018
1994,FLORA MARIA,395,0.018
1995,LISA,395,0.018
1996,MARIA BERNARDA,395,0.018
1997,PASION,395,0.018
1998,HOURIA,394,0.018
1999,JENNIFER MARIA,394,0.018
2000,AMBROSIA,393,0.018
2001,ANA CONCEPCION,393,0.018
2002,ANA MARIA CARMEN,392,0.018
2003,ANTONIA CARMEN,392,0.018
2004,ANA SILVIA,391,0.018
2005,CLARA INES,391,0.018
2006,MARIA DIANA,391,0.018
2007,MARIA MARTINA,391,0.018
2008,NICASIA,391,0.018
2009,IDURRE,390,0.018
2010,ROSARIO ISABEL,390,0.018
2011,YUSRA,390,0.018
2012,ATTENERI,389,0.018
2013,DULCENOMBRE MARIA,389,0.018
2014,EUNATE,389,0.018
2015,GABRIELA MARIA,389,0.018
2016,MAGNOLIA,389,0.018
2017,MARIA CIELO,389,0.018
2018,PERPETUA,389,0.018
2019,ROSA MERCEDES,389,0.018
2020,ALAA,388,0.018
2021,ANA INES,388,0.018
2022,ZAHARA,388,0.018
2023,JAVIERA,387,0.018
2024,JOSEFA ROSA,386,0.018
2025,SANDRA ELIZABETH,386,0.018
2026,INMA,385,0.018
2027,MARIA TEODORA,385,0.018
2028,MARY,385,0.018
2029,AFRIKA,384,0.018
2030,ALIZE,384,0.018
2031,LUNA MARIA,384,0.018
2032,SOUMAYA,384,0.018
2033,DIKRA,383,0.018
2034,ELOISA MARIA,383,0.018
2035,GLORIA CARMEN,383,0.018
2036,NEREA MARIA,383,0.018
2037,RIHAB,382,0.018
2038,SUSANA BEATRIZ,382,0.018
2039,GENMA,380,0.018
2040,ILDA,379,0.018
2041,ILIANA,379,0.018
2042,LEONILA,379,0.018
2043,SABRIN,379,0.018
2044,SACRAMENTOS,379,0.018
2045,AFRICA MARIA,378,0.018
2046,ELLA,378,0.018
2047,MARIA TANIA,378,0.018
2048,MARTA CRISTINA,378,0.018
2049,OMAYRA,378,0.018
2050,JEANETTE,377,0.018
2051,MARIA FLORINDA,377,0.018
2052,ANDREA CARMEN,376,0.018
2053,HASNA,376,0.018
2054,MARIA AROA,376,0.018
2055,MARTA LUCIA,376,0.018
2056,NIEVES ROSA,376,0.018
2057,PORFIRIA,376,0.018
2058,SHARON,376,0.018
2059,TERESITA JESUS,376,0.018
2060,YOVANA,376,0.018
2061,MARIA REMEI,375,0.017
2062,ARHANE,374,0.017
2063,DOLORES PILAR,374,0.017
2064,JACKELINE,374,0.017
2065,MARIA YURENA,374,0.017
2066,SOLEDAD MARIA,374,0.017
2067,LETIZIA,373,0.017
2068,MATEA,373,0.017
2069,ROSA MARGARITA,373,0.017
2070,YAEL,373,0.017
2071,MIREN JAIONE,372,0.017
2072,MONICA ISABEL,372,0.017
2073,SHIRLEY,372,0.017
2074,SANA,371,0.017
2075,ESTIBALITZ,370,0.017
2076,MARIA BRIGIDA,370,0.017
2077,CARMEN YOLANDA,369,0.017
2078,MARIA AZAHARA,369,0.017
2079,NELA,369,0.017
2080,PAULA ISABEL,369,0.017
2081,SALWA,369,0.017
2082,ANTONIA JOSEFA,368,0.017
2083,MARTA LUISA,368,0.017
2084,NATALIE,368,0.017
2085,YAMILEY,368,0.017
2086,ANA LORENA,367,0.017
2087,ANNABEL,367,0.017
2088,HAWA,367,0.017
2089,IOSUNE,367,0.017
2090,BEATRIZ CARMEN,366,0.017
2091,BERTHA,366,0.017
2092,CONSUELO MARIA,366,0.017
2093,ANA KARINA,365,0.017
2094,ELIDIA,365,0.017
2095,ROSA LUZ,365,0.017
2096,JENNYFER,364,0.017
2097,MARIA JUDITH,364,0.017
2098,TETYANA,364,0.017
2099,ANA MANUELA,363,0.017
2100,CARLOTTA,363,0.017
2101,MARIA LILIANA,363,0.017
2102,VENERANDA,363,0.017
2103,ANA CLARA,362,0.017
2104,NOELA,362,0.017
2105,ALODIA,361,0.017
2106,DUNIA ESTHER,361,0.017
2107,NAIR,361,0.017
2108,AITANA MARIA,360,0.017
2109,JONE MIREN,360,0.017
2110,CAROLINE,359,0.017
2111,MARIA OLIMPIA,359,0.017
2112,MARIA PAULINA,359,0.017
2113,ALICIA CARMEN,358,0.017
2114,IXEIA,358,0.017
2115,LAMIA,358,0.017
2116,LUCITA,358,0.017
2117,ISABEL TERESA,357,0.017
2118,RAISA,357,0.017
2119,AINHOA MARIA,356,0.017
2120,TATIANA MARIA,356,0.017
2121,ALAINE,355,0.017
2122,HANA,355,0.017
2123,MARIA SALES,355,0.017
2124,MIREN GURUTZE,355,0.017
2125,NOR,355,0.017
2126,PRECIOSA,355,0.017
2127,MARUJA,354,0.016
2128,TARA,353,0.016
2129,BEATRIZ EUGENIA,352,0.016
2130,MARIA LUCILA,352,0.016
2131,MARIA VILLA,352,0.016
2132,MARTA CARMEN,352,0.016
2133,MERY,352,0.016
2134,CARMEN LUZ,351,0.016
2135,DORLETA,351,0.016
2136,ANXELA,350,0.016
2137,TRINITAT,350,0.016
2138,CARMEN PATRICIA,349,0.016
2139,NISRINE,349,0.016
2140,ONINTZA,349,0.016
2141,TIFFANY,349,0.016
2142,YANELI,349,0.016
2143,BETTY,348,0.016
2144,HADA,348,0.016
2145,IRIS MARIA,348,0.016
2146,MARIA NELLY,348,0.016
2147,MARICEL,348,0.016
2148,CARMEN CECILIA,347,0.016
2149,EUDOSIA,347,0.016
2150,LAURA BEATRIZ,347,0.016
2151,MARIA SAMPEDRO,347,0.016
2152,XANDRA,347,0.016
2153,ANGELA CARMEN,346,0.016
2154,IZIAR,346,0.016
2155,AYLIN,345,0.016
2156,CARMEN ESTHER,345,0.016
2157,GLORIA ELENA,345,0.016
2158,LAURA PATRICIA,345,0.016
2159,MARIA BALBINA,345,0.016
2160,RIHAM,345,0.016
2161,YUMALAY,345,0.016
2162,EMELINA,344,0.016
2163,MARIA LUZDIVINA,344,0.016
2164,ROSA DOLORES,344,0.016
2165,SIXTA,344,0.016
2166,AINET,343,0.016
2167,AMETS,343,0.016
2168,ANA ESPERANZA,343,0.016
2169,CARMEN ANGELES,343,0.016
2170,DOLORES ISABEL,343,0.016
2171,ETNA,343,0.016
2172,EUKENE,343,0.016
2173,GISELE,343,0.016
2174,LARISA,343,0.016
2175,SINFOROSA,343,0.016
2176,ANGELA CRUZ,342,0.016
2177,MARIA MONSERRATE,342,0.016
2178,ROBLEDO,342,0.016
2179,TXELL,342,0.016
2180,GLORIA AMPARO,341,0.016
2181,MARTA TERESA,341,0.016
2182,ANTONIA DOLORES,340,0.016
2183,AMABLE,339,0.016
2184,ELIANE,339,0.016
2185,FEDERICA,339,0.016
2186,KATERINA,339,0.016
2187,MARIA INOCENCIA,339,0.016
2188,ORFELINA,339,0.016
2189,RABAB,339,0.016
2190,ANA ANGELES,338,0.016
2191,MARIA ELBA,338,0.016
2192,MARIA ELVA,338,0.016
2193,SARE,338,0.016
2194,BERENICE,337,0.016
2195,ESTHER GLORIA,337,0.016
2196,JOSEFA TERESA,337,0.016
2197,MARIA DULCE NOMBRE,337,0.016
2198,SOFIA ISABEL,337,0.016
2199,AMANDA MARIA,336,0.016
2200,BET,336,0.016
2201,ELIXABET,336,0.016
2202,FATIMA EZZAHRA,336,0.016
2203,SINAI,336,0.016
2204,TRINIDAD MARIA,336,0.016
2205,MEI,335,0.016
2206,MERIAM,335,0.016
2207,ALMUDENA MARIA,334,0.016
2208,MARIA ELISABETH,334,0.016
2209,PAULA CARMEN,334,0.016
2210,ABILIA,333,0.016
2211,ANA LIDIA,333,0.016
2212,MIREN AMAIA,333,0.016
2213,SANDRA LILIANA,333,0.016
2214,JESICA MARIA,332,0.015
2215,MARIA EUSEBIA,332,0.015
2216,MARIA GLADYS,332,0.015
2217,NOHEMI,332,0.015
2218,TARSILA,332,0.015
2219,EVA PILAR,331,0.015
2220,FELISA MARIA,331,0.015
2221,MARIA ETELVINA,331,0.015
2222,NICANORA,331,0.015
2223,NURIA ISABEL,331,0.015
2224,ALLEGRA,330,0.015
2225,AMBAR,330,0.015
2226,MIKAELA,330,0.015
2227,SAIRA,330,0.015
2228,ANDREA ISABEL,329,0.015
2229,CLAUDIA ANDREA,329,0.015
2230,ELISABEL,329,0.015
2231,GUAYARMINA,329,0.015
2232,SARA CARMEN,329,0.015
2233,WILMA,329,0.015
2234,IRENE CARMEN,328,0.015
2235,MARIA LUCRECIA,328,0.015
2236,AILEN,327,0.015
2237,ANNA ISABEL,327,0.015
2238,DENIA,327,0.015
2239,LILIANA MARIA,327,0.015
2240,YAMILETH,327,0.015
2241,ANA YOLANDA,326,0.015
2242,GABRIELA ALEJANDRA,326,0.015
2243,LAURA SOFIA,326,0.015
2244,ALINE,325,0.015
2245,ENIA,325,0.015
2246,JORGINA,325,0.015
2247,MARIA ELOINA,325,0.015
2248,MIREN MAITE,325,0.015
2249,ROSA INES,325,0.015
2250,CARMEN MARINA,324,0.015
2251,MARTHA ISABEL,324,0.015
2252,MONICA BEATRIZ,324,0.015
2253,VALVANERA,324,0.015
2254,CLAUDIA MARCELA,323,0.015
2255,ELENA PILAR,323,0.015
2256,ISABEL ROCIO,323,0.015
2257,MARIA MISERICORDIA,323,0.015
2258,MONICA CARMEN,323,0.015
2259,NAJWA,323,0.015
2260,YESSENIA,323,0.015
2261,DAPHNE,322,0.015
2262,LUZ MERY,322,0.015
2263,MARIA MAGNOLIA,322,0.015
2264,RAFAELA MARIA,322,0.015
2265,LIDYA,321,0.015
2266,SVITLANA,321,0.015
2267,AINIZE,320,0.015
2268,BETSABE,320,0.015
2269,EILEEN,320,0.015
2270,MARIA ANTIGUA,320,0.015
2271,MARIA BARBARA,320,0.015
2272,MARIA CAMPO,320,0.015
2273,MARIA MINERVA,320,0.015
2274,PERLA,320,0.015
2275,SILVIA CRISTINA,320,0.015
2276,TELESFORA,320,0.015
2277,ISABEL VICTORIA,319,0.015
2278,OUMAYMA,319,0.015
2279,ROSALIA MARIA,319,0.015
2280,YUMALAI,319,0.015
2281,FLORES,318,0.015
2282,FRANCISCA TERESA,318,0.015
2283,FREYA,318,0.015
2284,MARIA AINHOA,318,0.015
2285,MAYKA,318,0.015
2286,ELISEA,317,0.015
2287,IRIA MARIA,317,0.015
2288,MARIA ZORAIDA,317,0.015
2289,MIRYAN,317,0.015
2290,CRUZ MARIA,316,0.015
2291,LUZ AMPARO,316,0.015
2292,NATALY,316,0.015
2293,MARIA DAVINIA,315,0.015
2294,MOUNIA,315,0.015
2295,YOUSSRA,315,0.015
2296,BLANCA ELENA,314,0.015
2297,MARIA RUFINA,314,0.015
2298,ALICIA ISABEL,313,0.015
2299,ARACELI MARIA,313,0.015
2300,ELENA CRISTINA,313,0.015
2301,HELIA,313,0.015
2302,LISBETH,313,0.015
2303,MANOLITA,313,0.015
2304,NATIVITAT,313,0.015
2305,SALOUA,313,0.015
2306,ENEIDA,312,0.015
2307,FIORELLA,312,0.015
2308,LUISA ISABEL,312,0.015
2309,AINE,311,0.014
2310,BLANCA FLOR,311,0.014
2311,FATIMA ZAHRAE,311,0.014
2312,FRANCISCA JOSEFA,311,0.014
2313,HERMITAS,311,0.014
2314,JASMIN,311,0.014
2315,MARIA MARCELINA,311,0.014
2316,MARIA MARINA,311,0.014
2317,PAULA CRISTINA,311,0.014
2318,ROMUALDA,311,0.014
2319,JOSEFA ANGELES,310,0.014
2320,MARIA DESIRE,310,0.014
2321,ROSA EVA,310,0.014
2322,SOUHAILA,310,0.014
2323,ARENE,309,0.014
2324,BEATRIU,309,0.014
2325,LAYAN,309,0.014
2326,MARIEL,309,0.014
2327.ALOÑA,308,0,014
2328,ARIADNA MARIA,308,0.014
2329,FAUSTA,308,0.014
2330,ROSA ANGELICA,308,0.014
2331,SONIA ISABEL,308,0.014
2332,TAIS,308,0.014
2333,YULIANA,308,0.014
2334,ELENA VICTORIA,307,0.014
2335,GEMA ISABEL,307,0.014
2336,HANAA,307,0.014
2337,HEIDI,307,0.014
2338,JASMINE,307,0.014
2339,RACHEL,307,0.014
2340,ROSA ANGELES,307,0.014
2341,VALME,307,0.014
2342,JUANI,306,0.014
2343,JULIA CARMEN,306,0.014
2344,MARIA TATIANA,306,0.014
2345,DOAA,305,0.014
2346,GLADIS,305,0.014
2347,MANUELA CARMEN,305,0.014
2348,MARIA LUJAN,305,0.014
2349,MARIA RAMOS,305,0.014
2350,MARIA DOMINGA,304,0.014
2351,MARIA PAOLA,304,0.014
2352,MERCEDES CARMEN,304,0.014
2353,MIRIAM CARMEN,304,0.014
2354,GRACE,303,0.014
2355,LAURA VICTORIA,303,0.014
2356,LUCINIA,303,0.014
2357,MIREN JASONE,303,0.014
2358,GIMENA,302,0.014
2359,SUSANA ISABEL,302,0.014
2360,ALBA CARMEN,301,0.014
2361,CARMEN LOURDES,301,0.014
2362,GENESIS,301,0.014
2363,MARIA FELICIANA,301,0.014
2364,MARIA VALVANERA,301,0.014
2365,MEL,301,0.014
2366,MIREN IDOIA,301,0.014
2367,MOUNA,301,0.014
2368,NARCISA JESUS,301,0.014
2369,VALERIE,301,0.014
2370,ANA CATALINA,300,0.014
2371,ANA RITA,300,0.014
2372,ANGELA ISABEL,300,0.014
2373,EILA,300,0.014
2374,ISAMAR,300,0.014
2375,LYDIA MARIA,300,0.014
2376,MARIA SABINA,300,0.014
2377,MONICA ALEXANDRA,300,0.014
2378,ANA INMACULADA,299,0.014
2379,ANA MARIA PILAR,299,0.014
2380,LEXURI,299,0.014
2381,LUCY,299,0.014
2382,MARIA ELIDA,299,0.014
2383,MARIA QUERALT,299,0.014
2384,YANETH,299,0.014
2385,ARGIMIRA,298,0.014
2386,ENOLA,298,0.014
2387,ALSIRA,297,0.014
2388,AWA,297,0.014
2389,LAURA ESTHER,297,0.014
2390,MIREN GOTZONE,297,0.014
2391,OLGA LIDIA,297,0.014
2392,ANA VIRGINIA,296,0.014
2393,DAISY,296,0.014
2394,MARIA ALFONSA,296,0.014
2395,MARIA PURA,296,0.014
2396,PATRICIA PILAR,296,0.014
2397,SIMONE,296,0.014
2398,SORAYA MARIA,296,0.014
2399,GERONIMA,295,0.014
2400,MARIA FERMINA,295,0.014
2401,MARIA ISAURA,295,0.014
2402,MARIA PERPETUO SOCORRO,295,0.014
2403,MARILYN,295,0.014
2404,NEIVA,295,0.014
2405,NOELIA CARMEN,295,0.014
2406,SIRIA,295,0.014
2407,VICTORIA CARMEN,295,0.014
2408,AISSATOU,294,0.014
2409,ERMELINDA,294,0.014
2410,LLUVIA,294,0.014
2411,MACRINA,294,0.014
2412,VERONICA CARMEN,294,0.014
2413,BAYAN,293,0.014
2414,KENZA,293,0.014
2415,MAXIMILIANA,293,0.014
2416,MARIA JIMENA,292,0.014
2417,MATILDE MARIA,292,0.014
2418,ROCIO BELEN,292,0.014
2419,AIARA,291,0.014
2420,JENIFFER,291,0.014
